ISim log file
Running: /home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft_isim_beh.wdb 
ISim P.58f (signature 0xfbc00daa)
This is a Full version of ISim.
WARNING: File "/home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft.v" Line 34.  For instance tb_fft/uut/, width 8 of formal port s_axis_config_tdata is not equal to width 16 of actual variable s_axis_config_tdata. 
WARNING: File "/home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft.v" Line 50.  For instance tb_fft/uut/, width 48 of formal port m_axis_data_tdata is not equal to width 32 of actual signal m_axis_data_tdata.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                 667 	 outReal	 65534 	 outImage	   767
                 669 	 outReal	     6 	 outImage	     0
                 671 	 outReal	     2 	 outImage	     0
                 673 	 outReal	     8 	 outImage	 63232
                 675 	 outReal	     4 	 outImage	   256
                 677 	 outReal	     3 	 outImage	 65280
                 679 	 outReal	     9 	 outImage	  2304
                 681 	 outReal	    13 	 outImage	 57600
                 683 	 outReal	 65535 	 outImage	  2047
                 685 	 outReal	     3 	 outImage	  1280
                 687 	 outReal	     1 	 outImage	   768
                 689 	 outReal	     0 	 outImage	   512
                 691 	 outReal	     4 	 outImage	 65024
                 693 	 outReal	     2 	 outImage	 64512
                 695 	 outReal	    26 	 outImage	 17408
                 697 	 outReal	    46 	 outImage	 15360
                 699 	 outReal	     0 	 outImage	   512
                 701 	 outReal	     0 	 outImage	     0
                 703 	 outReal	     2 	 outImage	   512
                 705 	 outReal	     3 	 outImage	 64768
                 707 	 outReal	     3 	 outImage	   256
                 709 	 outReal	     3 	 outImage	  1536
                 711 	 outReal	     7 	 outImage	  3072
                 713 	 outReal	     2 	 outImage	 63488
                 715 	 outReal	     4 	 outImage	   512
                 717 	 outReal	 65534 	 outImage	   255
                 719 	 outReal	     0 	 outImage	   512
                 721 	 outReal	     0 	 outImage	 65280
                 723 	 outReal	 65534 	 outImage	  1023
                 725 	 outReal	     1 	 outImage	   256
                 727 	 outReal	   205 	 outImage	 24832
                 729 	 outReal	   188 	 outImage	 37888
                 731 	 outReal	 65534 	 outImage	 65279
                 733 	 outReal	 65534 	 outImage	   767
                 735 	 outReal	     0 	 outImage	     0
                 737 	 outReal	     0 	 outImage	 65024
                 739 	 outReal	     4 	 outImage	 65024
